date,count1,count2,month,dom,dow,doy,total,regular,overage1,overage2
2017-03-02,6836,3546,3,2,4,61,37021.13,36459.98,561.15,561.15
2017-03-03,7132,3600,3,3,5,62,38643.76,36504.77,2138.99,2138.99
2017-03-04,6637,3584,3,4,6,63,35497.06,30942.95,4554.11,4554.11
2017-03-05,5952,3481,3,5,0,64,30712.67,30679.64,33.03,33.03
2017-03-06,7147,3641,3,6,1,65,37915.75,37881.12,34.63,34.63
2017-03-07,6684,3503,3,7,2,66,36179.35,36121.15,58.2,58.2
2017-03-08,7045,3618,3,8,3,67,37821.7,37663.53,158.17,158.17
2017-03-09,6921,3529,3,9,4,68,37058.43,36506.46,551.97,551.97
2017-03-10,7117,3564,3,10,5,69,37991.06,35954.29,2036.77,2036.77
2017-03-11,6660,3580,3,11,6,70,35310.4,30667.39,4643.01,4643.01
2017-03-12,5897,3440,3,12,0,71,29443.24,29409.52,33.72,33.72
2017-03-13,7091,3627,3,13,1,72,37652.27,37590.77,61.5,61.5
2017-03-14,6008,3260,3,14,2,73,32398.99,32341.51,57.48,57.48
2017-03-15,6822,3532,3,15,3,74,36513.78,36422.48,91.3,91.3
2017-03-16,6897,3513,3,16,4,75,36917.07,36579.87,337.2,337.2
2017-03-17,7073,3561,3,17,5,76,37943.82,36248.8,1695.02,1695.02
2017-03-18,6630,3557,3,18,6,77,34925.2,30659.25,4265.95,4265.95
2017-03-19,5899,3461,3,19,0,78,30560.87,30523.35,37.52,37.52
2017-03-20,7026,3601,3,20,1,79,37197.05,37132.98,64.07,64.07
2017-03-21,6647,3489,3,21,2,80,35731.01,35664.83,66.18,66.18
2017-03-22,6978,3596,3,22,3,81,37403.15,37273.31,129.84,129.84
2017-03-23,6850,3491,3,23,4,82,36904.45,36446.91,457.54,457.54
2017-03-24,7063,3534,3,24,5,83,37820.11,35794.44,2025.67,2025.67
2017-03-25,6595,3539,3,25,6,84,34892.09,30090.14,4801.95,4801.95
2017-03-26,5899,3434,3,26,0,85,30575.01,30520.33,54.68,54.68
2017-03-27,7004,3561,3,27,1,86,37250.46,37192.06,58.4,58.4
2017-03-28,6529,3448,3,28,2,87,35506.75,35439.21,67.54,67.54
2017-03-29,7029,3560,3,29,3,88,37855.16,37741.39,113.77,113.77
2017-03-30,6879,3458,3,30,4,89,36923.86,36375.34,548.52,548.52
2017-03-31,7045,3488,3,31,5,90,37946.94,35604.67,2342.27,2342.27
2017-04-01,6503,3491,4,1,6,91,34486.12,29806.17,4679.95,4679.95
2017-04-02,5810,3329,4,2,0,92,30143.09,30081.39,61.7,61.7
2017-04-03,6981,3535,4,3,1,93,37085.07,37031.29,53.78,53.78
2017-04-04,6517,3368,4,4,2,94,35342.72,35256.65,86.07,86.07
2017-04-05,6953,3543,4,5,3,95,37381.71,37240.72,140.99,140.99
2017-04-06,6753,3390,4,6,4,96,36443.09,35827,616.09,616.09
2017-04-07,7007,3478,4,7,5,97,37720.21,35455.21,2265,2265
2017-04-08,6577,3491,4,8,6,98,34972.28,30302.98,4669.3,4669.3
2017-04-09,5764,3331,4,9,0,99,30063.54,29979.49,84.05,84.05
2017-04-10,6988,3544,4,10,1,100,37223.27,37165.92,57.35,57.35
2017-04-11,6493,3349,4,11,2,101,35372.26,35307.92,64.34,64.34
2017-04-12,6962,3533,4,12,3,102,37393.79,37301.73,92.06,92.06
2017-04-13,6787,3382,4,13,4,103,36621.77,36175.58,446.19,446.19
2017-04-14,6998,3478,4,14,5,104,37820.01,35777.17,2042.84,2020.84
2017-04-15,6523,3483,4,15,6,105,34890.37,30281.8,4608.57,4608.57
2017-04-16,2642,1756,4,16,0,106,13849.59,13835.43,14.16,14.16
2017-04-17,6865,3494,4,17,1,107,36817.35,36563.22,254.13,68.13
2017-04-18,6526,3353,4,18,2,108,35790.67,35681.96,108.71,108.71
2017-04-19,6993,3541,4,19,3,109,37851.2,37711.8,139.4,139.4
2017-04-20,6827,3377,4,20,4,110,36975.46,36564.94,410.52,410.52
2017-04-21,7003,3461,4,21,5,111,37983.92,36275.61,1708.31,1708.31
2017-04-22,6600,3481,4,22,6,112,35629.31,31970.45,3658.86,3658.86
2017-04-23,5742,3310,4,23,0,113,30014.97,29939.11,75.86,75.86
2017-04-24,7017,3554,4,24,1,114,37461.27,37403.36,57.91,57.91
2017-04-25,6429,3345,4,25,2,115,35254.65,35188.57,66.08,66.08
2017-04-26,6965,3531,4,26,3,116,37822.96,37671.67,151.29,151.29
2017-04-27,6775,3379,4,27,4,117,36596.05,35930.67,665.38,665.38
2017-04-28,7000,3469,4,28,5,118,38065.23,35393.57,2671.66,2671.66
2017-04-29,6493,3452,4,29,6,119,34717.67,29587.48,5130.19,5130.19
2017-04-30,5701,3303,4,30,0,120,29781.54,29718.66,62.88,62.88
2017-05-01,6890,3518,5,1,1,121,36899.61,36829.89,69.72,69.72
2017-05-02,6474,3347,5,2,2,122,35286.34,35206.6,79.74,79.74
2017-05-03,6909,3508,5,3,3,123,37450.79,37346.15,104.64,104.64
2017-05-04,6721,3372,5,4,4,124,36554.96,35961.64,593.32,593.32
2017-05-05,6995,3477,5,5,5,125,37906.53,35396.97,2509.56,2509.56
2017-05-06,6442,3435,5,6,6,126,34281,29368.84,4912.16,4912.16
2017-05-07,5681,3272,5,7,0,127,29799.64,29722.05,77.59,77.59
2017-05-08,7006,3517,5,8,1,128,37714.83,37631.65,83.18,83.18
2017-05-09,6475,3327,5,9,2,129,35731.38,35608.8,122.58,122.58
2017-05-10,6940,3490,5,10,3,130,37727.19,37582.31,144.88,144.88
2017-05-11,6719,3360,5,11,4,131,36614.22,35812.73,801.49,801.49
2017-05-12,7008,3473,5,12,5,132,38246.1,35454.25,2791.85,2791.85
2017-05-13,6491,3436,5,13,6,133,34872.08,29742.68,5129.4,5129.4
2017-05-14,5618,3263,5,14,0,134,29611.67,29521.49,90.18,90.18
2017-05-15,6917,3491,5,15,1,135,37299.82,37223.51,76.31,76.31
2017-05-16,6487,3357,5,16,2,136,35470.18,35380.22,89.96,89.96
2017-05-17,6911,3487,5,17,3,137,37469.48,37372.86,96.62,96.62
2017-05-18,6758,3367,5,18,4,138,36770.67,36166.42,604.25,604.25
2017-05-19,6937,3459,5,19,5,139,37752.29,35269.29,2483,2483
2017-05-20,6464,3443,5,20,6,140,34540.57,29440.48,5100.09,5100.09
2017-05-21,5697,3283,5,21,0,141,29929.34,29841.31,88.03,88.03
2017-05-22,6965,3509,5,22,1,142,37354.31,37310.4,43.91,43.91
2017-05-23,6494,3342,5,23,2,143,35617.58,35524.54,93.04,93.04
2017-05-24,6900,3490,5,24,3,144,37495.37,37364.25,131.12,131.12
2017-05-25,6751,3362,5,25,4,145,36473.33,35882.12,591.21,591.21
2017-05-26,6979,3458,5,26,5,146,37730.33,35368.33,2362,2362
2017-05-27,6438,3430,5,27,6,147,34356.86,29537.47,4819.39,4819.39
2017-05-28,5663,3266,5,28,0,148,29868.98,29799.99,68.99,68.99
2017-05-29,6717,3430,5,29,1,149,36835.5,36078.77,756.73,86.39
2017-05-30,6410,3316,5,30,2,150,34791.49,34693.64,97.85,97.85
2017-05-31,6906,3480,5,31,3,151,37348.44,37223.71,124.73,124.73
2017-06-01,6706,3373,6,1,4,152,36116.59,35584.16,532.43,532.43
2017-06-02,6962,3470,6,2,5,153,37618.38,35621.29,1997.09,1997.09
2017-06-03,6497,3458,6,3,6,154,34551.86,29977.97,4573.89,4573.89
2017-06-04,5688,3289,6,4,0,155,29789.08,29719.42,69.66,69.66
2017-06-05,6936,3509,6,5,1,156,36972.74,36904.13,68.61,68.61
2017-06-06,6500,3349,6,6,2,157,35480.19,35425.13,55.06,55.06
2017-06-07,6927,3493,6,7,3,158,37522.42,37422.43,99.99,99.99
2017-06-08,6742,3387,6,8,4,159,36530.55,35805.96,724.59,724.59
2017-06-09,6939,3471,6,9,5,160,37631.93,35229.8,2402.13,2402.13
2017-06-10,6410,3439,6,10,6,161,34089.69,29114.1,4975.59,4975.59
2017-06-11,5633,3282,6,11,0,162,29731.96,29673.95,58.01,58.01
2017-06-12,6857,3493,6,12,1,163,36699.7,36639.36,60.34,60.34
2017-06-13,6509,3353,6,13,2,164,35586.96,35512.2,74.76,74.76
2017-06-14,6883,3469,6,14,3,165,37342.02,37243.73,98.29,98.29
2017-06-15,6705,3374,6,15,4,166,36605.45,35911.82,693.63,693.63
2017-06-16,6882,3455,6,16,5,167,37443.25,35025.14,2418.11,2418.11
2017-06-17,6389,3430,6,17,6,168,34164.13,29309.71,4854.42,4854.42
2017-06-18,5567,3262,6,18,0,169,29632.29,29548.28,84.01,84.01
2017-06-19,6789,3478,6,19,1,170,36206.36,36154.82,51.54,51.54
2017-06-20,6321,3348,6,20,2,171,34651.21,34582.79,68.42,68.42
2017-06-21,6886,3491,6,21,3,172,37061.95,36944.48,117.47,117.47
2017-06-22,6718,3376,6,22,4,173,36339.41,35677.57,661.84,661.84
2017-06-23,6912,3449,6,23,5,174,37250.97,35002.39,2248.58,2248.58
2017-06-24,6356,3425,6,24,6,175,33858.8,29045.68,4813.12,4813.12
2017-06-25,5597,3253,6,25,0,176,29318.51,29239.79,78.72,78.72
2017-06-26,6838,3490,6,26,1,177,36525.74,36454.65,71.09,71.09
2017-06-27,6345,3354,6,27,2,178,34727.18,34621.72,105.46,105.46
2017-06-28,6847,3473,6,28,3,179,36954.47,36840.38,114.09,114.09
